848,Shin Godzilla,1240,smb://GLASSES/Movies/Shin.Godzilla.2016.JAPANESE.1080p.BluRay.H264.AAC-VXT/
853,Silent Hill: Revelation 3D,1245,smb://GLASSES/Movies/Silent Hill Revelation (2012)/
854,Silent House,1246,smb://GLASSES/Movies/Silent House (2011)/
858,Sinister,1250,smb://GLASSES/Movies/Sinister.2012.1080p.BluRay.H264.AAC-RARBG/
862,Slender Man,1254,smb://GLASSES/Movies/Slender.Man.2018.1080p.BluRay.H264.AAC-RARBG/
868,Society,1260,smb://GLASSES/Movies/Society.1989.REMASTERED.BDRiP.x264-LiViDiTY[rarbg]/
877,Spawn,1268,smb://GLASSES/Movies/Spawn 1997 1080p BluRay x264 AAC - Ozlem/
899,Stoker,1289,smb://GLASSES/Movies/Stoker (2013) [1080p]/
917,Suicide Club,1294,smb://GLASSES/Movies/Suicide Club 2001 DVDRip Xvid LKRG/
933,Tales from the Crypt,1310,smb://GLASSES/Movies/Tales.from.the.Crypt.1972.720p.BluRay.H264.AAC-RARBG/
940,Teeth,1317,smb://GLASSES/Movies/Teeth/
955,The Babadook,1332,smb://GLASSES/Movies/The Babadook (2014) [1080p]/
965,The Cabin in the Woods,1342,smb://GLASSES/Movies/The Cabin In The Woods (2012)/
966,The Cabinet of Dr. Caligari,1343,smb://GLASSES/Movies/The Cabinet of Dr Caligari (1920)/
968,The Cloverfield Paradox,1345,smb://GLASSES/Movies/The Cloverfield Paradox (2018)/
969,The Colony,1346,smb://GLASSES/Movies/The Colony (2013)/
970,The Crazies,1347,smb://GLASSES/Movies/The Crazies (1973)/
971,The Crazies,1348,smb://GLASSES/Movies/The Crazies (2010)/
982,The Devil's Backbone,1358,smb://GLASSES/Movies/The Devil's Backbone/
983,The Driller Killer,1359,smb://GLASSES/Movies/The Driller Killer (1979)/
987,The Eyes of My Mother,1363,smb://GLASSES/Movies/The Eyes of My Mother (2016)/
994,The Fly,1370,smb://GLASSES/Movies/The Fly (1986)/
997,The Gathering,1373,smb://GLASSES/Movies/The Gathering/
1016,The Horde,1391,smb://GLASSES/Movies/The Horde 2009/
1033,The Invisible Man,1408,smb://GLASSES/Movies/The Invisible Man (1933)/
1040,The Last Broadcast,1415,smb://GLASSES/Movies/The Last Broadcast/
1054,The Lost Boys,1429,smb://GLASSES/Movies/The Lost Boys (1987)/
1065,The Meg,1440,smb://GLASSES/Movies/The Meg (2018)/
1066,The Mist,1441,smb://GLASSES/Movies/The Mist/
